week,mean,median,min,max
2023-09-18,45.714285714285715,46.0,43,47
2023-09-25,46.57142857142857,47.0,44,48
2023-10-02,49.42857142857143,50.0,48,50
2023-10-09,46.857142857142854,47.0,44,50
2023-10-16,52.857142857142854,52.0,47,63
2023-10-23,67.0,70.0,53,72
2023-10-30,67.85714285714286,68.0,65,72
2023-11-06,70.0,70.0,66,74
2023-11-13,67.0,69.0,60,72
2023-11-20,68.57142857142857,69.0,62,73
2023-11-27,71.14285714285714,72.0,66,74
2023-12-04,73.14285714285714,73.0,72,75
2023-12-11,69.71428571428571,70.0,65,74
2023-12-18,71.0,71.0,65,74
2023-12-25,70.0,71.0,65,73
2024-01-01,69.57142857142857,70.0,65,72
2024-01-08,70.14285714285714,71.0,60,76
2024-01-15,56.857142857142854,56.0,51,64
2024-01-22,51.857142857142854,52.0,48,55
2024-01-29,60.285714285714285,60.0,55,63
2024-02-05,67.0,66.0,60,74
2024-02-12,73.57142857142857,72.0,70,79
2024-02-19,74.42857142857143,74.0,72,78
2024-02-26,79.42857142857143,80.0,72,83
2024-03-04,81.85714285714286,82.0,75,90
2024-03-11,82.14285714285714,81.0,79,88
2024-03-18,75.71428571428571,75.0,73,79
2024-03-25,78.28571428571429,79.0,75,83
2024-04-01,75.85714285714286,78.0,70,79
2024-04-08,76.14285714285714,76.0,72,80
2024-04-15,66.71428571428571,66.0,57,74
2024-04-22,70.0,71.0,65,73
2024-04-29,59.285714285714285,67.0,43,69
2024-05-06,61.857142857142854,64.0,53,71
2024-05-13,68.0,70.0,57,74
2024-05-20,74.71428571428571,76.0,70,76
2024-05-27,72.71428571428571,73.0,72,74
2024-06-03,74.71428571428571,75.0,72,78
2024-06-10,72.42857142857143,72.0,70,74
2024-06-17,62.857142857142854,63.0,53,74
2024-06-24,41.57142857142857,46.0,30,51
2024-07-01,40.285714285714285,44.0,26,53
2024-07-08,27.857142857142858,28.0,25,33
2024-07-15,65.0,65.0,52,74
2024-07-22,69.85714285714286,70.0,68,72
2024-07-29,54.57142857142857,57.0,34,74
2024-08-05,31.285714285714285,29.0,17,48
2024-08-12,28.285714285714285,29.0,25,31
2024-08-19,38.142857142857146,34.0,26,56
2024-08-26,35.857142857142854,30.0,26,55
2024-09-02,26.0,26.0,22,29
2024-09-09,37.142857142857146,33.0,26,51
2024-09-16,46.57142857142857,49.0,33,54
2024-09-23,57.285714285714285,59.0,50,64
2024-09-30,47.142857142857146,49.0,37,61
2024-10-07,45.42857142857143,49.0,32,50
2024-10-14,67.85714285714286,72.0,48,73
2024-10-21,71.33333333333333,71.5,69,74
2024-10-28,74.14285714285714,74.0,72,77
2024-11-04,73.57142857142857,75.0,70,78
2024-11-11,83.42857142857143,84.0,76,90
2024-11-18,86.42857142857143,83.0,80,94
2024-11-25,79.42857142857143,79.0,75,84
2024-12-02,77.71428571428571,78.0,72,84
2024-12-09,78.85714285714286,78.0,74,83
2024-12-16,78.0,75.0,73,87
2024-12-23,73.42857142857143,73.0,70,79
2024-12-30,69.14285714285714,70.0,64,74
2025-01-06,67.71428571428571,69.0,50,78
2025-01-13,71.14285714285714,75.0,61,77
2025-01-20,76.28571428571429,75.0,73,84
2025-01-27,69.85714285714286,71.0,60,76
2025-02-03,50.42857142857143,46.0,44,72
2025-02-10,48.285714285714285,48.0,43,54
2025-02-17,49.285714285714285,49.0,44,55
2025-02-24,23.857142857142858,21.0,10,49
2025-03-03,26.0,27.0,15,34
2025-03-10,32.285714285714285,30.0,20,46
2025-03-17,34.285714285714285,32.0,30,49
2025-03-24,40.0,44.0,26,47
2025-03-31,32.714285714285715,34.0,25,44
2025-04-07,31.0,25.0,18,45
2025-04-14,32.857142857142854,32.0,29,38
2025-04-21,58.142857142857146,61.0,39,72
2025-04-28,58.0,56.0,53,67
